approach,scenario,run,state,state_name,action,action_name,qvalue
rl1,cenario1_tempo_fixo/310s_20percent,11,1,SIMILARITY_HIGH,1,ALLOCATE,91.1268
rl1,cenario1_tempo_fixo/310s_20percent,12,0,SIMILARITY_MEDIUM,0,DO_NOT_ALLOCATE,0.193383
rl1,cenario1_tempo_fixo/310s_20percent,12,0,SIMILARITY_MEDIUM,1,ALLOCATE,13.9942
rl1,cenario1_tempo_fixo/310s_20percent,12,1,SIMILARITY_HIGH,0,DO_NOT_ALLOCATE,49.7209
rl1,cenario1_tempo_fixo/310s_20percent,12,1,SIMILARITY_HIGH,1,ALLOCATE,93.3702
rl1,cenario1_tempo_fixo/310s_20percent,13,0,SIMILARITY_MEDIUM,0,DO_NOT_ALLOCATE,0.193383
rl1,cenario1_tempo_fixo/310s_20percent,13,0,SIMILARITY_MEDIUM,1,ALLOCATE,20.6386
rl1,cenario1_tempo_fixo/310s_20percent,13,1,SIMILARITY_HIGH,0,DO_NOT_ALLOCATE,55.5117
rl1,cenario1_tempo_fixo/310s_20percent,13,1,SIMILARITY_HIGH,1,ALLOCATE,94.8432
rl1,cenario1_tempo_fixo/310s_20percent,14,0,SIMILARITY_MEDIUM,0,DO_NOT_ALLOCATE,0.193383
rl1,cenario1_tempo_fixo/310s_20percent,14,0,SIMILARITY_MEDIUM,1,ALLOCATE,20.6386
rl1,cenario1_tempo_fixo/310s_20percent,14,1,SIMILARITY_HIGH,0,DO_NOT_ALLOCATE,60.3247
rl1,cenario1_tempo_fixo/310s_20percent,14,1,SIMILARITY_HIGH,1,ALLOCATE,96.2988
rl1,cenario1_tempo_fixo/310s_20percent,15,0,SIMILARITY_MEDIUM,0,DO_NOT_ALLOCATE,0.193383
rl1,cenario1_tempo_fixo/310s_20percent,15,0,SIMILARITY_MEDIUM,1,ALLOCATE,20.6386
rl1,cenario1_tempo_fixo/310s_20percent,15,1,SIMILARITY_HIGH,0,DO_NOT_ALLOCATE,62.4818
rl1,cenario1_tempo_fixo/310s_20percent,15,1,SIMILARITY_HIGH,1,ALLOCATE,96.8486
rl1,cenario1_tempo_fixo/310s_20percent,16,0,SIMILARITY_MEDIUM,0,DO_NOT_ALLOCATE,0.193383
rl1,cenario1_tempo_fixo/310s_20percent,16,0,SIMILARITY_MEDIUM,1,ALLOCATE,20.6386
rl1,cenario1_tempo_fixo/310s_20percent,16,1,SIMILARITY_HIGH,0,DO_NOT_ALLOCATE,64.4872
rl1,cenario1_tempo_fixo/310s_20percent,16,1,SIMILARITY_HIGH,1,ALLOCATE,97.9338
rl1,cenario1_tempo_fixo/310s_20percent,17,0,SIMILARITY_MEDIUM,0,DO_NOT_ALLOCATE,0.193383
rl1,cenario1_tempo_fixo/310s_20percent,17,0,SIMILARITY_MEDIUM,1,ALLOCATE,20.6386
